date,temperature,humidity,luminosity
2021-11-17 15:19:38.241,19.4,29.6,119
2021-11-17 15:19:35.963,19.4,29.6,119
2021-11-17 15:19:33.685,19.4,29.6,119
2021-11-17 15:19:31.408,19.4,29.6,119
2021-11-17 15:19:29.130,19.4,29.6,119
2021-11-17 15:19:26.853,19.4,29.6,119
2021-11-17 15:19:24.575,19.3,29.5,118
2021-11-17 15:19:22.297,19.3,29.4,119
2021-11-17 15:19:20.020,19.3,29.4,120
2021-11-17 15:19:17.742,19.3,29.4,119
2021-11-17 15:19:15.464,19.3,29.3,119
2021-11-17 15:19:13.187,19.3,29.3,119
2021-11-17 15:19:10.905,19.3,29.3,119
2021-11-17 15:19:08.628,19.3,29.3,118
2021-11-17 15:19:06.350,19.3,29.3,118
2021-11-17 15:19:04.072,19.3,29.2,119
2021-11-17 15:19:01.794,19.3,29.2,119
2021-11-17 15:18:59.517,19.3,29.2,119
2021-11-17 15:18:57.239,19.3,29.3,118
2021-11-17 15:18:54.961,19.3,29.3,119
2021-11-17 15:18:52.684,19.3,29.3,117
2021-11-17 15:18:50.406,19.3,29.4,118
2021-11-17 15:18:48.128,19.3,29.4,118
2021-11-17 15:18:45.851,19.3,29.4,118
2021-11-17 15:18:43.573,19.3,29.4,118
2021-11-17 15:18:41.296,19.3,29.4,118
2021-11-17 15:18:39.018,19.3,29.5,118
2021-11-17 15:18:36.740,19.3,29.5,118
2021-11-17 15:18:34.463,19.3,29.5,118
2021-11-17 15:18:32.185,19.2,29.5,118
2021-11-17 15:18:29.908,19.3,29.6,118
2021-11-17 15:18:27.630,19.2,29.5,119
2021-11-17 15:18:25.352,19.2,29.5,119
2021-11-17 15:18:23.075,19.2,29.5,118
2021-11-17 15:18:20.797,19.2,29.5,119
2021-11-17 15:18:18.519,19.2,29.5,118
2021-11-17 15:18:16.242,19.2,29.5,119
2021-11-17 15:18:13.960,19.2,29.5,119
2021-11-17 15:18:11.683,19.2,29.5,119
2021-11-17 15:18:09.405,19.2,29.5,119
2021-11-17 15:18:07.127,19.2,29.5,119
2021-11-17 15:18:04.850,19.2,29.4,119
2021-11-17 15:18:02.572,19.2,29.4,119
2021-11-17 15:18:00.294,19.2,29.4,119
2021-11-17 15:17:58.016,19.1,29.3,119
2021-11-17 15:17:55.739,19.1,29.3,119
2021-11-17 15:17:53.461,19.1,29.3,119
2021-11-17 15:17:51.184,19.1,29.2,119
2021-11-17 15:17:48.906,19.1,29.2,119
2021-11-17 15:17:46.628,19.1,29.2,119
2021-11-17 15:17:44.351,19.1,29.2,119
2021-11-17 15:17:42.073,19.1,29.1,119
2021-11-17 15:17:39.796,19.1,29.1,118
2021-11-17 15:17:37.518,19.1,29.1,118
2021-11-17 15:17:35.236,19.1,29.0,117
2021-11-17 15:17:32.959,19.1,29.0,116
2021-11-17 15:17:30.681,19.1,29.0,117
2021-11-17 15:17:28.403,19.1,29.0,117
2021-11-17 15:17:26.126,19.1,29.0,118
2021-11-17 15:17:23.848,19.1,29.0,118
2021-11-17 15:17:21.571,19.1,29.0,117
2021-11-17 15:17:19.293,19.1,29.0,117
2021-11-17 15:17:17.015,19.1,29.0,117
2021-11-17 15:17:14.738,19.1,29.0,118
2021-11-17 15:17:12.460,19.1,29.0,118
2021-11-17 15:17:10.182,19.1,29.0,119
2021-11-17 15:17:07.905,19.1,29.1,118
2021-11-17 15:17:05.627,19.1,29.1,118
2021-11-17 15:17:03.350,19.1,29.1,118
2021-11-17 15:17:01.069,19.1,29.1,118
